business_code,cust_number,name_customer,due_in_date,total_open_amount,isOpen,due_day,due_month,document_create_date_day,document_create_date_month,clear_date_day,clear_date_month,due_week_day,clear_week_day,delay_day,delay_month,payment_term_new
1,595,753,2020-02-06,54714.07,0,6,2,20,1,2.0,6.0,3,1.0,117.0,4.0,98
1,908,4065,2020-03-08,3228.13,0,8,3,22,2,3.0,4.0,6,4.0,26.0,1.0,234
0,1096,2120,2019-05-19,23786.595,0,19,5,12,4,31.0,5.0,6,4.0,12.0,0.0,212
1,1001,981,2020-04-08,138.6,1,8,4,25,3,,,2,,,,244
1,908,4071,2019-05-01,34565.51,0,1,5,14,4,26.0,4.0,2,4.0,-5.0,-1.0,234
1,884,1849,2019-08-23,65353.0,0,23,8,8,8,23.0,8.0,4,4.0,0.0,0.0,98
1,908,4066,2020-03-03,49723.89,0,3,3,16,2,27.0,2.0,1,3.0,-5.0,-1.0,234
1,908,4072,2019-02-02,353.96,0,2,2,17,1,29.0,1.0,5,1.0,-4.0,-1.0,234
1,564,997,2019-05-11,3435.96,0,11,5,7,5,5.0,10.0,5,5.0,147.0,5.0,242
1,986,844,2020-03-28,32715.47,1,28,3,13,3,,,5,,,,110
1,485,988,2020-05-24,174.72,1,24,5,6,5,,,6,,,,244
1,908,4062,2019-08-08,21418.85,0,8,8,24,7,8.0,5.0,3,2.0,-92.0,-3.0,234
1,744,2481,2020-01-30,12606.72,0,30,1,13,1,31.0,1.0,3,4.0,1.0,0.0,98
1,846,3088,2020-03-04,25580.96,0,4,3,13,2,3.0,4.0,2,4.0,30.0,1.0,98
1,848,492,2019-09-12,20360.19,0,12,9,27,8,9.0,10.0,3,2.0,27.0,1.0,98
1,908,4063,2020-03-27,767.78,1,27,3,11,3,,,4,,,,234
1,937,3725,2019-07-31,322.48,0,31,7,15,7,30.0,7.0,2,1.0,-1.0,0.0,98
1,891,582,2020-02-05,91102.25,0,5,2,20,1,2.0,5.0,2,5.0,87.0,3.0,156
1,906,1045,2019-03-30,73077.72,0,30,3,15,3,4.0,1.0,5,4.0,-85.0,-2.0,98
0,120,141,2019-07-11,2120.8500000000004,0,11,7,30,6,15.0,7.0,3,0.0,4.0,0.0,310
1,780,3704,2019-06-25,3285.62,0,25,6,9,6,24.0,6.0,1,0.0,-1.0,0.0,98
0,447,3804,2019-07-19,5184.0,0,19,7,8,7,18.0,9.0,4,2.0,61.0,2.0,310
1,110,950,2019-05-16,24351.25,0,16,5,6,5,23.0,5.0,3,3.0,7.0,0.0,810
1,691,744,2019-06-21,22491.08,0,21,6,6,6,21.0,6.0,4,4.0,0.0,0.0,98
1,712,3939,2019-05-11,981.31,0,11,5,26,4,5.0,10.0,5,5.0,147.0,5.0,98
1,908,4067,2020-01-29,71008.69,0,29,1,13,1,24.0,1.0,2,4.0,-5.0,0.0,234
1,852,3780,2019-02-16,8445.33,0,16,2,30,1,26.0,2.0,5,1.0,10.0,0.0,98
1,870,2182,2019-09-03,79935.8,0,3,9,19,8,9.0,3.0,1,5.0,-178.0,-6.0,98
0,439,3402,2020-04-10,2122.2,1,10,4,27,3,,,4,,,,310
1,908,4068,2019-02-08,13636.19,0,8,2,21,1,2.0,11.0,4,5.0,267.0,9.0,234
1,908,4069,2019-04-11,71047.42,0,11,4,25,3,4.0,8.0,3,6.0,115.0,4.0,234
1,908,4066,2019-06-28,3748.84,0,28,6,13,6,25.0,6.0,4,1.0,-3.0,0.0,234
1,914,249,2019-03-07,74898.29,0,7,3,21,2,3.0,6.0,3,0.0,88.0,3.0,355
1,908,4067,2019-11-25,6300.98,0,25,11,9,11,20.0,11.0,0,2.0,-5.0,0.0,234
1,908,4062,2020-03-14,14514.68,1,14,3,27,2,,,5,,,,234
1,908,4067,2020-04-25,55400.31,1,25,4,10,4,,,5,,,,234
1,757,1122,2019-05-17,26520.18,0,17,5,2,5,17.0,5.0,4,4.0,0.0,0.0,98
1,914,251,2020-04-24,174766.36,1,24,4,8,4,,,4,,,,355
1,891,575,2019-03-30,75138.42,0,30,3,14,3,4.0,1.0,5,4.0,-85.0,-2.0,156
1,890,1624,2019-08-08,78043.58,0,8,8,24,7,8.0,7.0,3,0.0,-31.0,-1.0,98
0,405,2306,2019-06-19,38425.62,0,19,6,3,6,21.0,6.0,2,4.0,2.0,0.0,310
1,1038,3744,2020-04-14,31512.75,1,14,4,12,3,,,1,,,,832
1,908,4070,2020-04-14,19701.55,1,14,4,29,3,,,1,,,,234
1,647,2882,2019-10-12,42362.3,0,12,10,12,9,11.0,7.0,5,3.0,-93.0,-3.0,205
1,587,317,2019-09-25,6347.86,0,25,9,9,9,27.0,9.0,2,4.0,2.0,0.0,98
1,908,4070,2019-07-15,48129.8,0,15,7,29,6,7.0,10.0,0,0.0,84.0,3.0,234
1,806,434,2020-05-01,132.72,1,1,5,15,4,,,4,,,,98
1,908,4065,2019-10-14,5957.04,0,14,10,29,9,10.0,10.0,0,3.0,-4.0,0.0,234
1,908,4069,2019-09-05,423.47,0,5,9,20,8,9.0,3.0,3,5.0,-180.0,-6.0,234
1,105,4118,2019-03-19,32415.05,0,19,3,4,3,23.0,3.0,1,5.0,4.0,0.0,98
1,908,4069,2019-09-06,1328.25,0,6,9,22,8,9.0,3.0,4,5.0,-181.0,-6.0,234
1,848,490,2019-08-12,116300.54,0,12,8,28,7,14.0,8.0,0,2.0,2.0,0.0,98
1,908,4069,2020-04-13,1121.15,1,13,4,28,3,,,0,,,,234
1,908,4069,2020-04-21,11394.84,1,21,4,6,4,,,1,,,,234
1,950,3037,2020-01-29,20306.46,0,29,1,14,1,29.0,1.0,2,2.0,0.0,0.0,98
1,146,1867,2019-12-10,17243.1,0,10,12,20,11,24.0,12.0,1,1.0,14.0,0.0,98
1,852,3775,2020-02-26,22993.63,0,26,2,11,2,26.0,2.0,2,2.0,0.0,0.0,98
1,754,1967,2019-08-07,18939.75,0,7,8,23,7,8.0,7.0,2,0.0,-30.0,-1.0,98
1,139,1877,2019-06-28,13872.48,0,28,6,13,6,29.0,6.0,4,5.0,1.0,0.0,810
1,891,583,2020-02-16,937.68,0,16,2,31,1,19.0,2.0,6,2.0,3.0,0.0,156
0,441,1549,2020-04-18,2763.8999999999996,1,18,4,8,4,,,5,,,,310
1,908,4064,2019-05-14,1170.27,0,14,5,27,4,5.0,9.0,1,3.0,114.0,4.0,234
1,908,4064,2019-03-22,23976.32,0,22,3,6,3,18.0,3.0,4,0.0,-4.0,0.0,234
1,878,3146,2019-04-17,18828.87,0,17,4,1,4,17.0,4.0,2,2.0,0.0,0.0,98
1,908,4072,2019-12-25,720.78,0,25,12,10,12,23.0,12.0,2,0.0,-2.0,0.0,234
1,986,848,2019-10-06,13091.11,0,6,10,21,9,10.0,7.0,6,2.0,-88.0,-3.0,110
1,600,989,2020-03-10,28.32,0,10,3,21,2,3.0,2.0,1,0.0,-36.0,-1.0,244
1,891,585,2020-02-14,19665.2,0,14,2,29,1,14.0,2.0,4,4.0,0.0,0.0,156
1,852,3779,2020-03-30,52123.3,1,30,3,14,3,,,0,,,,98
0,407,856,2019-05-05,50275.71,0,5,5,18,4,5.0,9.0,6,3.0,123.0,4.0,310
1,908,4070,2020-03-25,14994.01,1,25,3,10,3,,,2,,,,234
1,908,4069,2020-03-21,36.06,1,21,3,6,3,,,5,,,,234
1,908,4067,2019-05-30,13112.14,0,30,5,14,5,28.0,5.0,3,1.0,-2.0,0.0,234
1,936,2541,2019-06-20,19997.78,0,20,6,5,6,21.0,6.0,3,4.0,1.0,0.0,98
1,885,3270,2020-03-15,124047.42,0,15,3,28,1,3.0,6.0,6,2.0,80.0,3.0,510
1,540,1093,2019-09-25,99386.3,0,25,9,10,9,25.0,9.0,2,2.0,0.0,0.0,98
1,806,433,2019-10-12,2211.63,0,12,10,26,9,15.0,10.0,5,1.0,3.0,0.0,98
1,913,3280,2019-04-27,2588.65,0,27,4,21,2,29.0,4.0,5,0.0,2.0,0.0,220
1,914,256,2019-04-17,99608.36,0,17,4,2,4,18.0,4.0,2,3.0,1.0,0.0,355
1,908,4063,2019-04-03,16982.59,0,3,4,16,3,4.0,1.0,2,4.0,-89.0,-3.0,234
1,940,2007,2019-07-15,1721.07,0,15,7,25,6,15.0,7.0,0,0.0,0.0,0.0,201
1,852,3774,2019-10-21,13533.21,0,21,10,5,10,23.0,10.0,0,2.0,2.0,0.0,98
1,908,4062,2019-10-14,3225.75,0,14,10,29,9,15.0,10.0,0,1.0,1.0,0.0,234
1,788,231,2019-11-05,1172.53,0,5,11,5,8,11.0,4.0,1,3.0,-208.0,-7.0,480
1,986,842,2019-04-13,32944.47,0,13,4,29,3,4.0,12.0,5,2.0,235.0,8.0,110
1,890,1627,2019-11-28,11443.14,0,28,11,13,11,27.0,11.0,3,2.0,-1.0,0.0,98
1,1064,422,2020-01-20,4884.0,0,20,1,11,1,25.0,1.0,0,5.0,5.0,0.0,810
1,942,1536,2019-03-22,38182.86,0,22,3,7,3,26.0,3.0,4,1.0,4.0,0.0,98
0,476,3222,2019-05-31,18720.0,0,31,5,30,4,31.0,5.0,4,4.0,0.0,0.0,330
1,633,131,2020-04-21,25836.19,1,21,4,6,4,,,1,,,,98
1,594,3690,2019-12-27,17710.21,0,27,12,11,12,31.0,12.0,4,1.0,4.0,0.0,98
1,633,133,2019-02-08,7790.06,0,8,2,22,1,26.0,2.0,4,1.0,18.0,0.0,98
1,913,3286,2019-07-21,48577.93,0,21,7,6,7,23.0,7.0,6,1.0,2.0,0.0,98
1,832,75,2020-04-30,4309.05,1,30,4,9,4,,,3,,,,98
1,908,4064,2019-02-21,316.8,0,21,2,6,2,19.0,2.0,3,1.0,-2.0,0.0,234
1,132,1008,2020-04-30,70181.07,1,30,4,16,4,,,3,,,,98
1,908,4071,2020-04-12,3403.8,1,12,4,26,3,,,6,,,,234
1,485,978,2019-07-23,1867.12,0,23,7,19,7,24.0,7.0,1,2.0,1.0,0.0,241
1,986,850,2020-04-26,1715.7,0,26,4,20,2,3.0,6.0,6,2.0,38.0,2.0,220
1,1038,3693,2019-07-04,31309.71,0,4,7,16,6,7.0,9.0,3,5.0,65.0,2.0,98
1,757,1121,2019-12-29,94490.93,0,29,12,24,11,12.0,10.0,6,5.0,-78.0,-2.0,100
1,908,4070,2020-01-30,6663.09,0,30,1,15,1,27.0,1.0,3,0.0,-3.0,0.0,234
1,1095,2115,2019-03-29,16245.14,0,29,3,21,2,29.0,3.0,4,4.0,0.0,0.0,212
1,852,3777,2020-02-21,46665.92,0,21,2,5,2,21.0,2.0,4,4.0,0.0,0.0,98
1,852,3781,2019-02-15,20463.04,0,15,2,30,1,19.0,2.0,4,1.0,4.0,0.0,98
1,885,3264,2019-08-24,26097.25,0,24,8,9,8,27.0,8.0,5,1.0,3.0,0.0,234
1,852,3782,2020-05-14,10665.53,1,14,5,7,3,,,3,,,,220
1,836,2780,2019-10-17,19190.96,0,17,10,3,10,18.0,10.0,3,4.0,1.0,0.0,98
1,703,994,2019-04-26,7642.71,0,26,4,25,4,25.0,4.0,4,3.0,-1.0,0.0,242
1,563,942,2019-05-17,22759.63,0,17,5,2,5,15.0,5.0,4,2.0,-2.0,0.0,98
1,757,1121,2019-12-20,1683.46,0,20,12,1,12,20.0,12.0,4,4.0,0.0,0.0,98
1,1001,985,2019-05-26,320.06,0,26,5,25,5,25.0,5.0,6,5.0,-1.0,0.0,242
0,441,1554,2019-05-12,25142.25,0,12,5,1,5,13.0,5.0,6,0.0,1.0,0.0,310
1,908,4065,2020-02-01,7040.6,0,1,2,17,1,2.0,3.0,5,0.0,30.0,1.0,234
1,1063,571,2019-12-28,45235.58,0,28,12,12,12,30.0,12.0,5,0.0,2.0,0.0,156
1,885,3263,2019-01-19,13873.43,0,19,1,3,1,22.0,1.0,5,1.0,3.0,0.0,234
1,914,247,2019-05-10,61001.54,0,10,5,25,4,13.0,5.0,4,0.0,3.0,0.0,355
1,908,4069,2020-03-11,17479.1,0,11,3,22,2,3.0,6.0,2,2.0,84.0,3.0,234
1,908,4069,2019-09-28,28649.56,0,28,9,13,9,24.0,9.0,5,1.0,-4.0,0.0,234
1,936,2550,2019-01-24,46474.49,0,24,1,10,1,28.0,1.0,3,0.0,4.0,0.0,98
1,885,3268,2019-01-19,14516.79,0,19,1,3,1,22.0,1.0,5,1.0,3.0,0.0,234
1,908,4067,2019-06-26,16101.13,0,26,6,10,6,21.0,6.0,2,4.0,-5.0,0.0,234
1,906,1038,2019-11-26,15258.5,0,26,11,9,11,26.0,11.0,1,1.0,0.0,0.0,98
1,908,4062,2019-10-20,69527.13,0,20,10,4,10,15.0,10.0,6,1.0,-5.0,0.0,234
1,212,2831,2019-10-31,15026.34,0,31,10,21,10,31.0,10.0,3,3.0,0.0,0.0,810
1,806,425,2019-01-19,83081.83,0,19,1,3,1,22.0,1.0,5,1.0,3.0,0.0,98
0,460,266,2019-06-18,28.665,0,18,6,31,5,24.0,6.0,1,0.0,6.0,0.0,310
1,986,847,2019-05-01,20557.14,0,1,5,13,4,5.0,1.0,2,5.0,-116.0,-4.0,110
1,852,3783,2019-09-22,37071.97,0,22,9,7,9,10.0,2.0,6,6.0,-224.0,-7.0,98
1,908,4072,2019-12-01,13683.15,0,1,12,15,11,26.0,11.0,6,1.0,-5.0,-1.0,234
1,1038,3745,2019-05-03,9481.83,0,3,5,18,4,5.0,6.0,4,2.0,33.0,1.0,98
1,806,433,2020-03-09,344.27,0,9,3,24,2,3.0,9.0,0,3.0,178.0,6.0,98
1,914,247,2019-10-18,2254.37,0,18,10,1,10,18.0,10.0,4,4.0,0.0,0.0,355
1,806,434,2019-03-01,820.4,0,1,3,14,2,3.0,6.0,4,0.0,94.0,3.0,98
1,132,1015,2019-02-14,17231.53,0,14,2,29,1,3.0,4.0,3,2.0,48.0,2.0,98
1,942,1546,2019-03-07,1591.96,0,7,3,15,2,13.0,3.0,3,2.0,6.0,0.0,98
1,908,4062,2020-04-05,7280.51,1,5,4,20,3,,,6,,,,234
1,885,3273,2020-02-03,38899.31,0,3,2,17,1,2.0,4.0,0,3.0,59.0,2.0,234
1,632,979,2019-11-24,4819.24,0,24,11,7,11,18.0,11.0,6,0.0,-6.0,0.0,244
1,1051,3615,2019-06-26,95073.2,0,26,6,11,6,27.0,6.0,2,3.0,1.0,0.0,98
1,785,3749,2019-07-16,13859.37,0,16,7,25,6,17.0,7.0,1,2.0,1.0,0.0,201
1,632,988,2019-03-23,20857.19,0,23,3,25,3,25.0,3.0,5,0.0,2.0,0.0,241
1,885,3265,2020-01-17,13768.73,0,17,1,31,12,21.0,1.0,4,1.0,4.0,0.0,234
1,885,3269,2019-07-28,82605.09,0,28,7,13,7,29.0,7.0,6,0.0,1.0,0.0,234
5,1089,1697,2019-12-16,6377.39,0,16,12,1,11,24.0,11.0,0,6.0,-22.0,-1.0,440
1,699,1874,2020-02-21,42383.25,0,21,2,12,2,26.0,2.0,4,2.0,5.0,0.0,810
1,806,429,2020-03-17,13681.7,1,17,3,1,3,,,1,,,,98
1,908,4064,2019-10-12,1735.16,0,12,10,26,9,15.0,10.0,5,1.0,3.0,0.0,234
1,686,510,2019-01-26,475.69,0,26,1,10,1,28.0,1.0,5,0.0,2.0,0.0,98
1,914,248,2019-12-01,58990.76,0,1,12,16,11,12.0,4.0,6,4.0,-233.0,-8.0,355
1,908,4066,2019-12-04,12591.43,0,4,12,17,11,12.0,6.0,2,2.0,-175.0,-6.0,234
1,760,4134,2020-04-22,33947.85,1,22,4,10,4,,,2,,,,98
1,908,4066,2019-09-14,48398.85,0,14,9,29,8,9.0,10.0,5,2.0,25.0,1.0,234
1,908,4066,2019-11-09,14752.57,0,9,11,24,10,11.0,5.0,5,5.0,-182.0,-6.0,234
1,141,2076,2019-05-03,8972.99,0,3,5,22,3,28.0,8.0,4,2.0,117.0,3.0,204
1,984,2358,2020-04-23,4537.14,1,23,4,9,4,,,3,,,,98
1,1069,3173,2019-04-10,1686.74,0,10,4,26,3,4.0,10.0,2,4.0,177.0,6.0,98
1,908,4067,2020-04-21,14355.96,1,21,4,5,4,,,1,,,,234
1,908,4070,2020-04-18,367.71,1,18,4,3,4,,,5,,,,234
1,908,4065,2019-12-10,22096.07,0,10,12,24,11,12.0,5.0,1,6.0,-212.0,-7.0,234
5,1089,1701,2019-04-01,14278.48,0,1,4,15,2,6.0,12.0,0,4.0,249.0,8.0,440
1,908,4071,2020-05-21,56284.77,1,21,5,6,5,,,3,,,,234
1,908,4072,2019-06-02,7000.45,0,2,6,17,5,29.0,5.0,6,2.0,-4.0,-1.0,234
1,757,1122,2019-10-03,48806.26,0,3,10,30,8,16.0,9.0,3,0.0,-17.0,-1.0,100
1,753,4037,2019-11-11,29929.01,0,11,11,25,10,12.0,6.0,0,2.0,-152.0,-5.0,98
1,986,848,2020-03-06,6681.26,0,6,3,17,2,3.0,9.0,4,3.0,181.0,6.0,110
1,976,3912,2019-09-12,19170.69,0,12,9,28,8,13.0,9.0,3,4.0,1.0,0.0,98
1,986,849,2020-02-27,98321.98,0,27,2,11,2,26.0,2.0,3,2.0,-1.0,0.0,110
1,941,3206,2019-07-04,89474.22,0,4,7,19,6,7.0,5.0,3,1.0,-58.0,-2.0,98
1,908,4062,2019-12-08,1244.9,0,8,12,22,11,12.0,4.0,6,4.0,-240.0,-8.0,234
1,770,4099,2019-06-03,19496.39,0,3,6,19,5,6.0,3.0,0,2.0,-89.0,-3.0,98
1,1051,3616,2019-10-16,136.08,0,16,10,2,10,17.0,10.0,2,3.0,1.0,0.0,98
1,908,4070,2020-03-15,50493.86,1,15,3,28,2,,,6,,,,234
1,908,4069,2020-05-06,15489.43,1,6,5,20,4,,,2,,,,234
1,151,4127,2019-01-21,20367.5,0,21,1,9,1,18.0,1.0,0,4.0,-3.0,0.0,810
0,403,768,2019-12-09,43.56,0,9,12,27,11,12.0,12.0,0,3.0,3.0,0.0,310
5,184,2821,2020-03-06,24643.72,0,6,3,2,1,17.0,3.0,4,1.0,11.0,0.0,390
1,986,850,2020-01-17,20557.14,0,17,1,30,12,17.0,1.0,4,4.0,0.0,0.0,110
0,469,4053,2019-04-17,7152.465,0,17,4,7,4,25.0,4.0,2,3.0,8.0,0.0,310
1,866,2158,2019-11-04,8301.45,0,4,11,19,10,11.0,4.0,0,3.0,-207.0,-7.0,98
1,908,4070,2019-01-27,15823.03,0,27,1,10,1,23.0,1.0,6,2.0,-4.0,0.0,234
1,676,2908,2019-04-12,134457.26,0,12,4,29,3,4.0,11.0,4,0.0,206.0,7.0,98
1,633,125,2019-08-10,3476.52,0,10,8,22,7,8.0,12.0,5,6.0,120.0,4.0,98
1,931,2744,2020-01-18,495.86,0,18,1,3,1,24.0,1.0,5,4.0,6.0,0.0,98
1,633,132,2019-11-05,642.24,0,5,11,21,10,11.0,5.0,1,5.0,-178.0,-6.0,98
1,908,4072,2019-12-14,16907.57,0,14,12,27,11,12.0,10.0,5,5.0,-63.0,-2.0,234
1,132,1011,2019-05-18,51147.1,0,18,5,1,5,17.0,5.0,5,4.0,-1.0,0.0,98
0,406,2582,2020-03-11,99835.01999999999,1,11,3,27,2,,,2,,,,310
1,600,996,2019-11-08,6733.93,0,8,11,18,10,11.0,1.0,4,4.0,-301.0,-10.0,244
1,908,4064,2019-07-20,44952.8,0,20,7,4,7,16.0,7.0,5,1.0,-4.0,0.0,234
1,600,992,2019-03-11,49.44,0,11,3,26,2,3.0,4.0,0,2.0,23.0,1.0,244
1,633,132,2019-05-08,72721.08,0,8,5,3,3,25.0,3.0,2,0.0,-44.0,-2.0,220
1,983,3624,2019-07-16,54073.74,0,16,7,2,7,17.0,7.0,1,2.0,1.0,0.0,98
1,737,3921,2019-04-12,3329.23,0,12,4,25,3,4.0,12.0,4,2.0,236.0,8.0,98
1,908,4064,2020-02-08,2416.07,0,8,2,23,1,2.0,10.0,5,4.0,237.0,8.0,234
1,806,433,2020-05-04,360.33,1,4,5,18,4,,,0,,,,98
1,908,4072,2020-03-10,3703.19,0,10,3,23,2,3.0,5.0,1,6.0,54.0,2.0,234
1,908,4062,2019-06-17,39293.61,0,17,6,2,6,6.0,12.0,0,4.0,172.0,6.0,234
0,405,2300,2020-01-30,42031.71,0,30,1,20,1,31.0,1.0,3,4.0,1.0,0.0,310
1,908,4072,2019-06-20,26666.4,0,20,6,4,6,17.0,6.0,3,0.0,-3.0,0.0,234
1,851,3568,2020-05-20,3826.03,1,20,5,17,3,,,2,,,,220
1,897,3708,2019-12-19,24209.83,0,19,12,29,11,20.0,12.0,3,4.0,1.0,0.0,201
1,906,1046,2019-02-09,11523.97,0,9,2,24,1,2.0,11.0,5,5.0,266.0,9.0,98
0,407,855,2019-12-07,69685.4475,0,7,12,19,11,12.0,12.0,5,3.0,5.0,0.0,310
1,986,847,2019-09-14,7884.97,0,14,9,28,8,13.0,9.0,5,4.0,-1.0,0.0,110
1,908,4065,2019-12-13,30162.79,0,13,12,27,11,12.0,9.0,4,3.0,-92.0,-3.0,234
0,403,770,2019-11-17,1616.46,0,17,11,5,11,14.0,11.0,6,3.0,-3.0,0.0,310
1,11,1105,2020-02-16,20217.6,0,16,2,31,1,13.0,2.0,6,3.0,-3.0,0.0,98
1,846,3088,2019-05-09,23150.75,0,9,5,23,4,13.0,5.0,3,0.0,4.0,0.0,98
1,908,4068,2019-03-02,43371.16,0,2,3,13,2,26.0,2.0,5,1.0,-4.0,-1.0,234
1,192,170,2019-08-28,17336.04,0,28,8,12,8,9.0,10.0,2,2.0,42.0,2.0,83
1,908,4064,2019-06-02,53750.69,0,2,6,18,5,6.0,4.0,6,5.0,-57.0,-2.0,234
1,870,2186,2020-04-17,96674.05,1,17,4,2,4,,,4,,,,98
1,757,1120,2019-02-13,113.47,0,13,2,24,1,13.0,2.0,2,2.0,0.0,0.0,201
1,1095,2116,2019-07-07,74819.57,0,7,7,3,6,8.0,2.0,6,4.0,-149.0,-5.0,212
1,764,3054,2019-11-12,22990.16,0,12,11,28,10,11.0,12.0,1,2.0,29.0,1.0,98
0,435,3689,2020-05-18,46318.1775,1,18,5,6,5,,,0,,,,310
1,891,584,2019-01-18,5595.12,0,18,1,2,1,18.0,1.0,4,4.0,0.0,0.0,156
1,770,4096,2020-04-18,14382.22,1,18,4,3,4,,,5,,,,98
1,1095,2111,2019-05-09,1264.16,0,9,5,2,4,31.0,5.0,3,4.0,22.0,0.0,212
1,1098,2127,2019-01-01,3195.37,0,1,1,31,12,3.0,1.0,1,3.0,2.0,0.0,532
1,908,4065,2019-12-24,15804.65,0,24,12,7,12,20.0,12.0,1,4.0,-4.0,0.0,234
0,1096,2115,2020-04-27,19101.5025,1,27,4,20,3,,,0,,,,212
1,908,4069,2020-05-06,35509.95,1,6,5,20,4,,,2,,,,234
1,753,4040,2019-05-29,17520.12,0,29,5,14,5,29.0,5.0,2,2.0,0.0,0.0,98
1,912,4112,2019-05-19,3490.87,0,19,5,14,3,20.0,5.0,6,0.0,1.0,0.0,220
1,908,4063,2020-04-20,13512.61,1,20,4,4,4,,,0,,,,234
0,441,1548,2020-02-10,50333.137500000004,0,10,2,23,1,2.0,10.0,0,4.0,235.0,8.0,310
1,653,3461,2019-11-07,96922.79,0,7,11,23,10,11.0,7.0,3,3.0,-119.0,-4.0,98
1,782,3713,2019-09-04,2407.15,0,4,9,21,8,9.0,3.0,2,5.0,-179.0,-6.0,98
1,914,250,2020-04-08,24421.33,1,8,4,25,3,,,2,,,,355
